40,-67,-80,41,-31,6,-128,87,-14,125,59,-27,40,7,19,9,10,5,3
50,-77,-81,76,-53,8,-111,122,-8,87,45,-31,42,-9,18,9,10,5,3
59,-84,-80,106,-74,11,-84,152,7,41,27,-34,37,-22,15,9,10,5,3
-3653,1172,110,127,-90,14,-62,171,26,16,1,-24,27,-35,10,9,10,5,3
52,-153,-9,202,-78,-46,-152,121,62,309,-82,-60,-123,-90,20,9,10,5,3
58,-148,-16,203,-87,-41,-145,124,66,307,-94,-63,-116,-86,20,9,10,5,3
66,-145,-20,204,-96,-36,-137,124,62,287,-104,-62,-114,-81,21,9,10,5,3
72,-142,-24,204,-104,-32,-125,124,59,264,-101,-61,-117,-74,22,9,10,5,3
35,-78,-31,123,-13,-17,-125,111,63,-284,74,-43,-87,-58,34,9,10,5,3
30,-75,-31,125,-10,-11,-117,119,56,-216,15,-45,-69,-59,31,9,10,5,3
26,-69,-27,125,-10,-9,-109,132,47,-134,-49,-59,-51,-59,25,9,10,5,3
26,-63,-24,122,-8,-14,-105,130,45,-53,-88,-64,-38,-56,16,9,10,5,3
-79,0,-34,36,26,-36,-67,43,98,84,-58,-29,-65,-13,9,9,10,5,3
-76,-6,-35,46,25,-29,-74,28,91,57,-77,-28,-57,-7,12,9,10,5,3
-71,-14,-35,50,22,-21,-79,17,81,25,-87,-36,-46,-3,18,9,10,5,3
-64,-23,-33,51,17,-12,-73,23,77,1,-94,-39,-38,1,24,9,10,5,3
-55,-32,-30,49,9,-5,-64,45,74,-13,-93,-39,-32,7,31,9,10,5,3
-10,11,-31,83,10,-11,-86,37,85,-122,23,-118,-103,-7,28,9,10,5,3
-3,12,-31,92,5,-13,-84,39,77,-105,52,-113,-84,-6,21,9,10,5,3
3,14,-33,98,-1,-15,-80,40,77,-89,55,-110,-73,-3,17,9,10,5,3
9,13,-32,100,-7,-18,-85,39,83,-74,38,-106,-67,-1,14,9,10,5,3
-6,-21,16,13,-7,-5,-29,62,88,80,9,-15,-88,2,19,9,10,5,3
-6,-24,11,5,-12,-8,-21,62,97,76,-2,-17,-92,3,14,9,10,5,3
-8,-25,6,-2,-17,-9,-16,54,98,73,-9,-23,-101,2,10,9,10,5,3
-13,-24,1,-10,-20,-10,-18,42,91,68,-20,-28,-113,0,5,9,10,5,3
-20,-21,-2,-16,-21,-10,-26,37,84,64,-22,-18,-125,-4,1,9,10,5,3
