34,-46,-7,2,17,15,187,84,-27,-66,-49,33,-92,7,15,9,0,0,0
51,-58,-12,-22,41,27,191,93,-8,-70,-43,13,-98,26,31,9,4457,2536,941
66,-67,-16,-45,64,37,190,98,9,-75,-36,-5,-102,42,45,9,4457,2536,941
80,-72,-20,-62,83,42,183,98,24,-78,-31,-17,-106,56,54,9,4457,2536,941
91,-76,-26,-76,98,44,172,93,37,-80,-26,-27,-109,68,62,9,4457,2536,941
97,-78,-32,-85,110,44,157,85,48,-85,-22,-39,-112,79,69,9,4457,2536,941
96,-79,-42,-97,129,42,126,65,68,-103,-20,-62,-118,94,79,9,4457,2536,941
90,-79,-44,-100,135,42,116,56,77,-111,-21,-66,-120,100,83,9,4457,2536,941
86,-78,-47,-103,139,42,111,48,83,-115,-21,-69,-122,103,86,9,4457,2536,941
42,-44,-44,-90,118,55,132,40,88,-105,-20,-79,-93,76,83,9,4457,2536,941
34,-40,-43,-87,114,55,144,43,89,-103,-20,-74,-89,68,80,9,4457,2536,941
25,-37,-43,-84,110,54,156,54,87,-99,-20,-69,-85,60,78,9,4457,2536,941
15,-36,-42,-76,101,55,183,75,81,-93,-19,-68,-76,47,76,9,4457,2536,941
14,-39,-41,-71,97,57,197,78,75,-94,-20,-71,-72,42,75,9,4457,2536,941
16,-43,-39,-67,92,58,208,72,66,-93,-21,-73,-68,39,75,9,4457,2536,941
27,-51,-34,-61,88,62,221,89,41,-86,-24,-74,-63,34,74,9,4457,2536,941
35,-57,-32,-60,88,64,213,108,32,-81,-24,-73,-62,32,73,9,4457,2536,941
21,-57,-28,-42,60,66,182,124,53,-60,-19,-72,-27,13,69,9,4457,2536,941
35,-61,-27,-43,61,68,164,115,58,-55,-16,-71,-28,22,74,9,4457,2536,941
49,-65,-25,-46,62,70,142,103,64,-50,-14,-69,-32,30,79,9,4457,2536,941
64,-68,-23,-50,66,70,117,85,70,-49,-12,-68,-37,40,84,9,4457,2536,941
83,-67,-26,-58,73,69,50,41,84,-47,-9,-68,-47,59,95,9,4457,2536,941
85,-63,-32,-60,77,68,14,17,90,-50,-9,-68,-53,70,99,9,4457,2536,941
83,-57,-36,-62,81,66,-13,-2,97,-54,-9,-66,-59,80,102,9,4457,2536,941
79,-50,-39,-62,83,64,-29,-18,102,-58,-9,-65,-64,89,103,9,4457,2536,941
14,-6,-50,-50,65,50,93,51,72,-86,-11,-81,-52,46,83,9,4457,2536,941
